Ein Service des Knowledge-Hubs von Monitor Versorgungsforschung. Täglich automatisiert KI-kuratiert aus PubMed und auf Deutsch übersetzt.

Aufgenommen;Autor;Publiziert am;In PubMed seit;Journal;Jahr;Titel;Fragestellung;Ergebnis;Übertragbarkeit;PMID;PubMed-Link
2026-09-23;Dai R et al.;Sept. 2026;22.09.2026;Ann N Y Acad Sci;2026;Schulung zu Gesundheitsinformation stärkt Gesundheitskompetenz in ländlichen Gemeinden;Randomisierte Cluster-Kontrolltrial zu einem theorie-basierten Interventionsprogramm zur Verbesserung der Gesundheitskompetenz bei Erwachsenen in ländlichen Regionen Chinas durch Schulungsmaterialien, WeChat-Messaging, interaktive Vorträge und praktisches Training.;Das Interventionsprogramm verbesserte signifikant die Verhaltenseinstellung (p<0,001), subjektiven Normen (p<0,001), Verhaltensabsicht (p<0,001), Gesundheitskompetenz-Akquisitionsverhalten (p<0,001) und die allgemeine Gesundheitskompetenz (p<0,001), nicht aber die wahrgenommene Verhaltenskontrolle. Die Effekte zeigten sich konsistent in den Sensitivitätsanalysen.;China - ländliches Versicherungssystem, begrenzte Internetinfrastruktur wie in Teilen Deutschlands;42771486;https://pubmed.ncbi.nlm.nih.gov/42771486/
2026-09-23;Graham N et al.;01.09.2026;22.09.2026;JAMA Netw Open;2026;Transparenz in Transplantationsentscheidungen: Patientenbeteiligung an Ausschusssitzungen;Qualitative Studie mit 41 Teilnehmern (19 Patienten, 13 Kliniker, 9 Patienten-Kliniker) zu Perspektiven auf Patientenbeteiligung bei Transplantationsausschuss-Meetings mittels semistrukturierter Interviews und thematischer Analyse.;Vier Themen wurden identifiziert: Machtausgleich und Autonomie, Prozessverständnis als Empowerment, gegenseitige Verwundbarkeit und Umgang mit Unsicherheit. Teilnehmer befürworteten bedingt die Patientenbeteiligung mit strukturierten Rollen, moderierter Teilnahme, Meeting-Zusammenfassungen und standardisierten Kommunikationsrahmen als Voraussetzungen für Vertrauen und Transparenz.;"USA - Transplantationssystem und ethische Grundlagen unterscheiden sich; Kernfrage nach Transparenz ist systemübergreifend gültig";42771341;https://pubmed.ncbi.nlm.nih.gov/42771341/
2026-09-23;Al Mamari M et al.;10.09.2026;22.09.2026;Sultan Qaboos Univ Med J;2026;Strukturiertes Schulungsprogramm reduziert Angst vor der Geburt nachweislich;Quasi-experimentelle Vor-Nach-Studie mit 79 Erstgebärenden in Oman zur Wirkung eines strukturierten pränatalen Schulungsprogramms auf die Geburtsangst, gemessen mit dem Self-Evaluation Questionnaire.;"Die Angst-vor-Geburt-Score sank signifikant von 4,35±0,63 vor der Intervention auf 1,79±0,74 zwei Wochen postpartum (Mittelwertdifferenz 2,56 Punkte; 95%-CI: 2,38–2,74; t=27,8; p<0,001; Cohens d=3,12). Die Effektstärke zeigt klinisch relevante Verbesserung.";"Oman - anderes Gesundheitssystem; Befund zur Wirksamkeit von Schulung ist kulturübergreifend übertragbar";42770113;https://pubmed.ncbi.nlm.nih.gov/42770113/
2026-09-23;Wieslander KN et al.;21.09.2026;22.09.2026;Trials;2026;Kinderrecht auf echte Mitsprache in Krebsforschung: Beteiligung noch lückenhaft;Qualitative Studie mit 11 Kinder mit Krebs, 17 Geschwistern und 9 Eltern in Schweden zur Erfahrung von Assent-Prozessen bei der Teilnahme an pädiatrischer Onkologie-Forschung mittels Interviews und reflexiver thematischer Analyse.;"Zwei Hauptthemen: moralisches und emotionales Engagement für Forschung; relationales Assent durch Vertrauen, Loyalität und elterliche Vermittlung. Kinder zeigten Spektrum von aktiver bis zu minimaler Teilnahme; einige Entscheidungen wurden primär von Eltern getroffen. Familien waren stark motiviert, zur Forschung beizutragen, aber echtes Assent erfordert Kind-zentrierte, flexible und kontextabhängige Prozesse mit ethischem Bewusstsein für Autonomiedynamiken.";"Schweden - europäischer Ethikstandard und Kinderrechte ähnlich Deutschland; Befunde zu echter Beteiligung universal gültig";42768367;https://pubmed.ncbi.nlm.nih.gov/42768367/
2026-09-23;Yin Y et al.;03.09.2026;18.09.2026;Front Public Health;2026;eHealth-Kompetenz bei Sportstudierenden: niedrig und mehrdimensional beeinflussbar;Online-Umfrage mit 923 Sportstudierenden aus sechs chinesischen Universitäten zur eHealth-Kompetenz mittels standardisiertem Fragebogen und statistischer Analyse von Einflussfaktoren.;"Durchschnittliche eHealth-Literacy-Score 41,91±6,90; adäquate Rate nur 22,2% (205 Personen). Signifikante Einflussfaktoren: Ethnizität (95%-CI: -3,641–-0,408), Geschlecht (95%-CI: 1,292–3,445), selbstbewerteter Gesundheitszustand (95%-CI: -1,276–-0,100), Nutzung von Smart-Wearables (95%-CI: 0,100–0,794), interpersonale Harmonie (95%-CI: 0,379–1,733), Häufigkeit der Internetsuche nach Gesundheitswissen (95%-CI: 0,246–1,099).";"China - Bildungssystem und digitale Infrastruktur unterscheiden sich; Befunde zu demografischen Faktoren sind universal gültig";42756107;https://pubmed.ncbi.nlm.nih.gov/42756107/
2026-09-23;Oliveira B et al.;26.06.2026;26.06.2026;BMC Prim Care;2026;Shared Decision Making in der Prostatakrebsfrüherkennung bleibt unterentwickelt;Querschnittsstudie mit 107 Hausärzten in Portugal zur Umsetzung von Shared Decision Making (SDM) bei opportunistischem PSA-Screening: Erfassung von Screening-Kriterien, SDM-Praktiken, Entscheidungshilfen und Überweisungsmuster.;"80,4% der Hausärzte erklärten PSA-Tests, aber nur 64,5% diskutierten konsistent Nutzen/Risiken oder erkundeten Patientenpräferenzen. Nur 6,5% nutzen Entscheidungshilfen; 72% waren damit nicht vertraut. Nationale Richtlinien bestimmten die Praxis (75,7%), insbesondere bei unerfahreneren Ärzten (p=0,027). Bevölkerungsbasiertes Screening-Befürwortung nur 12,2%.";Portugal - Gatekeeping-Hausarztsystem ähnlich Deutschland, vergleichbare Versorgungsstruktur;42363103;https://pubmed.ncbi.nlm.nih.gov/42363103/
2026-09-22;Rigoureau J et al.;Okt. 2026;21.09.2026;Health Expect;2026;Patienten in Forschung einbinden: Machbarkeitsstudie zur Beteiligung an Pharmakoepidemiogie;Feasibility-Studie zur Beteiligung von Patienten als Forschungspartner in einem Patient Committee für eine Pharmakoepidemiogie-Studie mit französischer Versicherungsdatenbank.;Drei Patienten rekrutiert (von fünf angestrebt), drei von fünf Meetings mit vollständiger Teilnahme, Konsens bei den meisten Punkten erreicht. Patientenbeteiligung führte zu einer effektiven Änderung eines primären Outcomes und einer zusätzlichen statistischen Analyse. 13 % der codierten Austausche entsprachen den vordefinierten Kategorien. Patienten äußerten Zufriedenheit mit ihrer Beteiligung, wobei die Machbarkeit durch Rekrutierungshindernisse und begrenzte Patientenverständigung eingeschränkt war.;"Frankreich, vergleichbares Versicherungssystem; Training und Methodology müssen an Komplexität angepasst werden.";42765183;https://pubmed.ncbi.nlm.nih.gov/42765183/
2026-09-22;Heng H et al.;Okt. 2026;21.09.2026;Health Expect;2026;Ältere Patienten gestalten Sturz-Prävention mit: Partizipatives Design von Schulungsinhalten;Qualitativ-partizipative Studie (World Café) mit älteren Patienten zu Anforderungen bei der Umsetzung eines Programms zur Sturzprävention im Krankenhaus.;33 ältere Konsumenten aus zwei Bundesstaaten in Australien beteiligt. Sie empfahlen Aufmerksamkeit für korrektes Timing der Patientenedukation, Personalisierung und mehrere Vermittlungskanäle. Ward- und Organisationsebene müssen Unterstützung durch Staff, Familien, Freiwillige und Peers sichern, mit klarer Kommunikation und Wiederholung. Konsens: Alle können zusammenarbeiten, um Sturzprävention zu priorisieren.;"Australien, vergleichbare klinische Strukturen; Patientenbeteiligung an Programmdesign übertragbar.";42765165;https://pubmed.ncbi.nlm.nih.gov/42765165/
2026-09-22;Verweij L et al.;Okt. 2026;21.09.2026;Health Expect;2026;Indikatoren für echte Partnerschaft in Gesundheitsforschung: modifizierte Delphi-Studie;Co-designed modifizierte Delphi-Studie zur Definition von Qualitätsindikatoren für Evaluierung von Partnerschaften zwischen Nutzern und Forschern in Health Research.;Participatory expert workshop mit 7 Nutzern und 7 Forschern identifizierte 35 potenzielle Indikatoren. Nach zwei Surveyierungsrunden (response rate 11/14 und 13/24) wurden 30 Indikatoren operationalisiert und kategorisiert in Strukturen (n=9), Prozesse (n=9) und Outcomes (n=12) von PPIE. Indikatoren als relevant und von Nutzer- wie Forscherseite akzeptiert eingestuft.;"Schweiz, Europa; Indikatoren sollten in Praxis validiert werden; übertragbare Methodologie.";42765156;https://pubmed.ncbi.nlm.nih.gov/42765156/
2026-09-22;Meier C et al.;21.09.2026;21.09.2026;Palliat Support Care;2026;Verständnis von End-of-Life-Informationen: Validierung einer spanischen Health-Literacy-Skala;Kulturelle Adaptation und Validierung der spanischen Version der Subjective End-of-Life Health Literacy Scale durch community-basierte Workshops in Argentinien.;"3-Faktor-Struktur (funktional, interaktiv, kritisch) unterstützt; Factor Loadings 0,57–0,91; Cronbach's α=0,89. Qualitatives Feedback verbesserte Klarheit und Kontextrelevanz. Teilnehmer verstanden technische End-of-Life-Terminologie leicht, zeigten aber Unsicherheit bei interaktiven und Entscheidungs-Items, was Herausforderungen bei Anwendung auf persönliche Therapiewahl anzeigt.";"Argentinien/Lateinamerika; Skala als strukturierter Reflexions- und Dialogprompt einsetzbar.";42764784;https://pubmed.ncbi.nlm.nih.gov/42764784/
